t x y xy
0.28500 0.43325 0.97745 0.42348
0.29000 0.42948 0.96848 0.41594
0.29500 0.42806 0.96279 0.41213
0.30000 0.42786 0.96085 0.41111
0.30500 0.42765 0.96276 0.41172
0.31000 0.42629 0.96826 0.41276
0.31500 0.42273 0.97672 0.41289
0.32000 0.41621 0.98728 0.41092
0.32500 0.40627 0.99888 0.40581
0.33000 0.39278 1.01036 0.39685
0.33500 0.37599 1.02062 0.38374
0.34000 0.35646 1.02869 0.36669
0.34500 0.33501 1.03383 0.34634
0.35000 0.31266 1.03559 0.32379
0.35500 0.29048 1.03385 0.30031
0.36000 0.26954 1.02884 0.27731
0.36500 0.25078 1.02109 0.25607
0.37000 0.23490 1.01138 0.23757
0.37500 0.22234 1.00070 0.22250
0.38000 0.21323 0.99009 0.21112
0.38500 0.20736 0.98057 0.20333
0.39000 0.20420 0.97307 0.19870
0.39500 0.20301 0.96827 0.19657
0.40000 0.20284 0.96663 0.19607
0.40500 0.20267 0.96826 0.19624
0.41000 0.20149 0.97298 0.19605
0.41500 0.19842 0.98030 0.19451
0.42000 0.19275 0.98948 0.19072
0.42500 0.18405 0.99961 0.18398
0.43000 0.17219 1.00971 0.17386
0.43500 0.15734 1.01879 0.16030
0.44000 0.13996 1.02597 0.14359
0.44500 0.12078 1.03056 0.12447
0.45000 0.10067 1.03214 0.10391
0.45500 0.08061 1.03057 0.08307
0.46000 0.06156 1.02601 0.06316
0.46500 0.04440 1.01892 0.04524
0.47000 0.02980 1.01000 0.03010
0.47500 0.01820 1.00012 0.01820
0.48000 0.00974 0.99026 0.00965
0.48500 0.00425 0.98138 0.00417
0.49000 0.00129 0.97433 0.00126
0.49500 0.00016 0.96981 0.00016
0.50000 -0.00000 0.96825 -0.00000
0.50500 -0.00016 0.96981 -0.00016
0.51000 -0.00129 0.97433 -0.00126
0.51500 -0.00425 0.98138 -0.00417
0.52000 -0.00974 0.99026 -0.00965
0.52500 -0.01820 1.00012 -0.01820
0.53000 -0.02980 1.01000 -0.03010
0.53500 -0.04440 1.01892 -0.04524
0.54000 -0.06156 1.02601 -0.06316
0.54500 -0.08061 1.03057 -0.08307
0.55000 -0.10067 1.03214 -0.10391
0.55500 -0.12078 1.03056 -0.12447
0.56000 -0.13996 1.02597 -0.14359
0.56500 -0.15734 1.01879 -0.16030
0.57000 -0.17219 1.00971 -0.17386
0.57500 -0.18405 0.99961 -0.18398
0.58000 -0.19275 0.98948 -0.19072
0.58500 -0.19842 0.98030 -0.19451
0.59000 -0.20149 0.97298 -0.19605
0.59500 -0.20267 0.96826 -0.19624
0.60000 -0.20284 0.96663 -0.19607
0.60500 -0.20301 0.96827 -0.19657
0.61000 -0.20420 0.97307 -0.19870
0.61500 -0.20736 0.98057 -0.20333
0.62000 -0.21323 0.99009 -0.21112
0.62500 -0.22234 1.00070 -0.22250
0.63000 -0.23490 1.01138 -0.23757
0.63500 -0.25078 1.02109 -0.25607
0.64000 -0.26954 1.02884 -0.27731
0.64500 -0.29048 1.03385 -0.30031
0.65000 -0.31266 1.03559 -0.32379
0.65500 -0.33501 1.03383 -0.34634
0.66000 -0.35646 1.02869 -0.36669
0.66500 -0.37599 1.02062 -0.38374
0.67000 -0.39278 1.01036 -0.39685
0.67500 -0.40627 0.99888 -0.40581
0.68000 -0.41621 0.98728 -0.41092
0.68500 -0.42273 0.97672 -0.41289
0.69000 -0.42629 0.96826 -0.41276
0.69500 -0.42765 0.96276 -0.41172
0.70000 -0.42786 0.96085 -0.41111
0.70500 -0.42806 0.96279 -0.41213
0.71000 -0.42948 0.96848 -0.41594
0.71500 -0.43325 0.97745 -0.42348
0.72000 -0.44032 0.98890 -0.43543
0.72500 -0.45135 1.00175 -0.45214
0.73000 -0.46666 1.01477 -0.47355
0.73500 -0.48616 1.02668 -0.49913
0.74000 -0.50937 1.03627 -0.52784
0.74500 -0.53546 1.04251 -0.55822
0.75000 -0.56329 1.04469 -0.58846
0.75500 -0.59157 1.04247 -0.61669
0.76000 -0.61891 1.03591 -0.64114
0.76500 -0.64401 1.02553 -0.66045
0.77000 -0.66577 1.01223 -0.67391
0.77500 -0.68340 0.99722 -0.68150
0.78000 -0.69651 0.98193 -0.68392
0.78500 -0.70518 0.96788 -0.68253
0.79000 -0.70996 0.95651 -0.67908
0.79500 -0.71181 0.94907 -0.67556
0.80000 -0.71208 0.94645 -0.67395
0.80500 -0.71237 0.94914 -0.67614
0.81000 -0.71435 0.95710 -0.68370
0.81500 -0.71969 0.96979 -0.69795
0.82000 -0.72980 0.98615 -0.71969
0.82500 -0.74576 1.00474 -0.74929
0.83000 -0.76819 1.02381 -0.78648
0.83500 -0.79711 1.04147 -0.83017
0.84000 -0.83200 1.05588 -0.87849
0.84500 -0.87176 1.06539 -0.92876
0.85000 -0.91480 1.06875 -0.97769
0.85500 -0.95918 1.06524 -1.02176
0.86000 -1.00277 1.05478 -1.05770
0.86500 -1.04347 1.03794 -1.08306
0.87000 -1.07936 1.01599 -1.09662
0.87500 -1.10898 0.99075 -1.09872
0.88000 -1.13145 0.96455 -1.09134
0.88500 -1.14661 0.93997 -1.07778
0.89000 -1.15513 0.91964 -1.06230
0.89500 -1.15852 0.90603 -1.04965
0.90000 -1.15903 0.90114 -1.04445
0.90500 -1.15958 0.90635 -1.05099
0.91000 -1.16353 0.92218 -1.07298
0.91500 -1.17447 0.94816 -1.11359
0.92000 -1.19591 0.98283 -1.17538
0.92500 -1.23101 1.02365 -1.26012
0.93000 -1.28229 1.06722 -1.36849
0.93500 -1.35140 1.10936 -1.49919
0.94000 -1.43887 1.14540 -1.64808
0.94500 -1.54405 1.17047 -1.80726
0.95000 -1.66498 1.17981 -1.96436
0.95500 -1.79849 1.16914 -2.10269
0.96000 -1.94033 1.13494 -2.20216
0.96500 -2.08533 1.07473 -2.24117
0.97000 -2.22773 0.98732 -2.19948
0.97500 -2.36150 0.87292 -2.06140
0.98000 -2.48071 0.73320 -1.81886
0.98500 -2.57988 0.57124 -1.47373
0.99000 -2.65433 0.39135 -1.03877
0.99500 -2.70050 0.19891 -0.53716
1.00000 -2.71615 -0.00000 0.00000
1.00500 -2.70050 -0.19891 0.53716
1.01000 -2.65433 -0.39135 1.03877
1.01500 -2.57988 -0.57124 1.47373
1.02000 -2.48071 -0.73320 1.81886
1.02500 -2.36150 -0.87292 2.06140
1.03000 -2.22773 -0.98732 2.19948
1.03500 -2.08533 -1.07473 2.24117
1.04000 -1.94033 -1.13494 2.20216
1.04500 -1.79849 -1.16914 2.10269
1.05000 -1.66498 -1.17981 1.96436
1.05500 -1.54405 -1.17047 1.80726
1.06000 -1.43887 -1.14540 1.64808
1.06500 -1.35140 -1.10936 1.49919
1.07000 -1.28229 -1.06722 1.36849
1.07500 -1.23101 -1.02365 1.26012
1.08000 -1.19591 -0.98283 1.17538
1.08500 -1.17447 -0.94816 1.11359
1.09000 -1.16353 -0.92218 1.07298
1.09500 -1.15958 -0.90635 1.05099
1.10000 -1.15903 -0.90114 1.04445
1.10500 -1.15852 -0.90603 1.04965
1.11000 -1.15513 -0.91964 1.06230
1.11500 -1.14661 -0.93997 1.07778
1.12000 -1.13145 -0.96455 1.09134
1.12500 -1.10898 -0.99075 1.09872
1.13000 -1.07936 -1.01599 1.09662
1.13500 -1.04347 -1.03794 1.08306
1.14000 -1.00277 -1.05478 1.05770
1.14500 -0.95918 -1.06524 1.02176
1.15000 -0.91480 -1.06875 0.97769
1.15500 -0.87176 -1.06539 0.92876
1.16000 -0.83200 -1.05588 0.87849
1.16500 -0.79711 -1.04147 0.83017
1.17000 -0.76819 -1.02381 0.78648
1.17500 -0.74576 -1.00474 0.74929
1.18000 -0.72980 -0.98615 0.71969
1.18500 -0.71969 -0.96979 0.69795
1.19000 -0.71435 -0.95710 0.68370
1.19500 -0.71237 -0.94914 0.67614
1.20000 -0.71208 -0.94645 0.67395
1.20500 -0.71181 -0.94907 0.67556
1.21000 -0.70996 -0.95651 0.67908
1.21500 -0.70518 -0.96788 0.68253
1.22000 -0.69651 -0.98193 0.68392
1.22500 -0.68340 -0.99722 0.68150
1.23000 -0.66577 -1.01223 0.67391
1.23500 -0.64401 -1.02553 0.66045
1.24000 -0.61891 -1.03591 0.64114
1.24500 -0.59157 -1.04247 0.61669
1.25000 -0.56329 -1.04469 0.58846
1.25500 -0.53546 -1.04251 0.55822
1.26000 -0.50937 -1.03627 0.52784
1.26500 -0.48616 -1.02668 0.49913
1.27000 -0.46666 -1.01477 0.47355
1.27500 -0.45135 -1.00175 0.45214
1.28000 -0.44032 -0.98890 0.43543
1.28500 -0.43325 -0.97745 0.42348
1.29000 -0.42948 -0.96848 0.41594
1.29500 -0.42806 -0.96279 0.41213
1.30000 -0.42786 -0.96085 0.41111
1.30500 -0.42765 -0.96276 0.41172
1.31000 -0.42629 -0.96826 0.41276
1.31500 -0.42273 -0.97672 0.41289
1.32000 -0.41621 -0.98728 0.41092
1.32500 -0.40627 -0.99888 0.40581
1.33000 -0.39278 -1.01036 0.39685
1.33500 -0.37599 -1.02062 0.38374
1.34000 -0.35646 -1.02869 0.36669
1.34500 -0.33501 -1.03383 0.34634
1.35000 -0.31266 -1.03559 0.32379
1.35500 -0.29048 -1.03385 0.30031
1.36000 -0.26954 -1.02884 0.27731
1.36500 -0.25078 -1.02109 0.25607
1.37000 -0.23490 -1.01138 0.23757
1.37500 -0.22234 -1.00070 0.22250
1.38000 -0.21323 -0.99009 0.21112
1.38500 -0.20736 -0.98057 0.20333
1.39000 -0.20420 -0.97307 0.19870
1.39500 -0.20301 -0.96827 0.19657
1.40000 -0.20284 -0.96663 0.19607
1.40500 -0.20267 -0.96826 0.19624
1.41000 -0.20149 -0.97298 0.19605
1.41500 -0.19842 -0.98030 0.19451
1.42000 -0.19275 -0.98948 0.19072
1.42500 -0.18405 -0.99961 0.18398
1.43000 -0.17219 -1.00971 0.17386
1.43500 -0.15734 -1.01879 0.16030
1.44000 -0.13996 -1.02597 0.14359
1.44500 -0.12078 -1.03056 0.12447
1.45000 -0.10067 -1.03214 0.10391
1.45500 -0.08061 -1.03057 0.08307
1.46000 -0.06156 -1.02601 0.06316
1.46500 -0.04440 -1.01892 0.04524
1.47000 -0.02980 -1.01000 0.03010
1.47500 -0.01820 -1.00012 0.01820
1.48000 -0.00974 -0.99026 0.00965
1.48500 -0.00425 -0.98138 0.00417
1.49000 -0.00129 -0.97433 0.00126
1.49500 -0.00016 -0.96981 0.00016
1.50000 0.00000 -0.96825 -0.00000
1.50500 0.00016 -0.96981 -0.00016
1.51000 0.00129 -0.97433 -0.00126
1.51500 0.00425 -0.98138 -0.00417
1.52000 0.00974 -0.99026 -0.00965
1.52500 0.01820 -1.00012 -0.01820
1.53000 0.02980 -1.01000 -0.03010
1.53500 0.04440 -1.01892 -0.04524
1.54000 0.06156 -1.02601 -0.06316
1.54500 0.08061 -1.03057 -0.08307
1.55000 0.10067 -1.03214 -0.10391
1.55500 0.12078 -1.03056 -0.12447
1.56000 0.13996 -1.02597 -0.14359
1.56500 0.15734 -1.01879 -0.16030
1.57000 0.17219 -1.00971 -0.17386
1.57500 0.18405 -0.99961 -0.18398
1.58000 0.19275 -0.98948 -0.19072
1.58500 0.19842 -0.98030 -0.19451
1.59000 0.20149 -0.97298 -0.19605
1.59500 0.20267 -0.96826 -0.19624
1.60000 0.20284 -0.96663 -0.19607
1.60500 0.20301 -0.96827 -0.19657
1.61000 0.20420 -0.97307 -0.19870
1.61500 0.20736 -0.98057 -0.20333
1.62000 0.21323 -0.99009 -0.21112
1.62500 0.22234 -1.00070 -0.22250
1.63000 0.23490 -1.01138 -0.23757
1.63500 0.25078 -1.02109 -0.25607
1.64000 0.26954 -1.02884 -0.27731
1.64500 0.29048 -1.03385 -0.30031
1.65000 0.31266 -1.03559 -0.32379
1.65500 0.33501 -1.03383 -0.34634
1.66000 0.35646 -1.02869 -0.36669
1.66500 0.37599 -1.02062 -0.38374
1.67000 0.39278 -1.01036 -0.39685
1.67500 0.40627 -0.99888 -0.40581
1.68000 0.41621 -0.98728 -0.41092
1.68500 0.42273 -0.97672 -0.41289
1.69000 0.42629 -0.96826 -0.41276
1.69500 0.42765 -0.96276 -0.41172
1.70000 0.42786 -0.96085 -0.41111
1.70500 0.42806 -0.96279 -0.41213
1.71000 0.42948 -0.96848 -0.41594
1.71500 0.43325 -0.97745 -0.42348
1.72000 0.44032 -0.98890 -0.43543
1.72500 0.45135 -1.00175 -0.45214
1.73000 0.46666 -1.01477 -0.47355
1.73500 0.48616 -1.02668 -0.49913
1.74000 0.50937 -1.03627 -0.52784
1.74500 0.53546 -1.04251 -0.55822
1.75000 0.56329 -1.04469 -0.58846
1.75500 0.59157 -1.04247 -0.61669
1.76000 0.61891 -1.03591 -0.64114
1.76500 0.64401 -1.02553 -0.66045
1.77000 0.66577 -1.01223 -0.67391
1.77500 0.68340 -0.99722 -0.68150
1.78000 0.69651 -0.98193 -0.68392
1.78500 0.70518 -0.96788 -0.68253
1.79000 0.70996 -0.95651 -0.67908
1.79500 0.71181 -0.94907 -0.67556
1.80000 0.71208 -0.94645 -0.67395
1.80500 0.71237 -0.94914 -0.67614
1.81000 0.71435 -0.95710 -0.68370
1.81500 0.71969 -0.96979 -0.69795
1.82000 0.72980 -0.98615 -0.71969
1.82500 0.74576 -1.00474 -0.74929
1.83000 0.76819 -1.02381 -0.78648
1.83500 0.79711 -1.04147 -0.83017
1.84000 0.83200 -1.05588 -0.87849
1.84500 0.87176 -1.06539 -0.92876
1.85000 0.91480 -1.06875 -0.97769
1.85500 0.95918 -1.06524 -1.02176
1.86000 1.00277 -1.05478 -1.05770
1.86500 1.04347 -1.03794 -1.08306
1.87000 1.07936 -1.01599 -1.09662
1.87500 1.10898 -0.99075 -1.09872
1.88000 1.13145 -0.96455 -1.09134
1.88500 1.14661 -0.93997 -1.07778
1.89000 1.15513 -0.91964 -1.06230
1.89500 1.15852 -0.90603 -1.04965
1.90000 1.15903 -0.90114 -1.04445
1.90500 1.15958 -0.90635 -1.05099
1.91000 1.16353 -0.92218 -1.07298
1.91500 1.17447 -0.94816 -1.11359
1.92000 1.19591 -0.98283 -1.17538
1.92500 1.23101 -1.02365 -1.26012
1.93000 1.28229 -1.06722 -1.36849
1.93500 1.35140 -1.10936 -1.49919
1.94000 1.43887 -1.14540 -1.64808
1.94500 1.54405 -1.17047 -1.80726
1.95000 1.66498 -1.17981 -1.96436
1.95500 1.79849 -1.16914 -2.10269
1.96000 1.94033 -1.13494 -2.20216
1.96500 2.08533 -1.07473 -2.24117
1.97000 2.22773 -0.98732 -2.19948
1.97500 2.36150 -0.87292 -2.06140
1.98000 2.48071 -0.73320 -1.81886
1.98500 2.57988 -0.57124 -1.47373
1.99000 2.65433 -0.39135 -1.03877
1.99500 2.70050 -0.19891 -0.53716
2.00000 2.71615 -0.00000 -0.00000
2.00500 2.70050 0.19891 0.53716
2.01000 2.65433 0.39135 1.03877
2.01500 2.57988 0.57124 1.47373
2.02000 2.48071 0.73320 1.81886
2.02500 2.36150 0.87292 2.06140
2.03000 2.22773 0.98732 2.19948
2.03500 2.08533 1.07473 2.24117
2.04000 1.94033 1.13494 2.20216
2.04500 1.79849 1.16914 2.10269
2.05000 1.66498 1.17981 1.96436
2.05500 1.54405 1.17047 1.80726
2.06000 1.43887 1.14540 1.64808
2.06500 1.35140 1.10936 1.49919
2.07000 1.28229 1.06722 1.36849
2.07500 1.23101 1.02365 1.26012
2.08000 1.19591 0.98283 1.17538
2.08500 1.17447 0.94816 1.11359
2.09000 1.16353 0.92218 1.07298
2.09500 1.15958 0.90635 1.05099
2.10000 1.15903 0.90114 1.04445
2.10500 1.15852 0.90603 1.04965
2.11000 1.15513 0.91964 1.06230
2.11500 1.14661 0.93997 1.07778
2.12000 1.13145 0.96455 1.09134
2.12500 1.10898 0.99075 1.09872
2.13000 1.07936 1.01599 1.09662
2.13500 1.04347 1.03794 1.08306
2.14000 1.00277 1.05478 1.05770
2.14500 0.95918 1.06524 1.02176
2.15000 0.91480 1.06875 0.97769
2.15500 0.87176 1.06539 0.92876
2.16000 0.83200 1.05588 0.87849
2.16500 0.79711 1.04147 0.83017
2.17000 0.76819 1.02381 0.78648
2.17500 0.74576 1.00474 0.74929
2.18000 0.72980 0.98615 0.71969
2.18500 0.71969 0.96979 0.69795
2.19000 0.71435 0.95710 0.68370
2.19500 0.71237 0.94914 0.67614
2.20000 0.71208 0.94645 0.67395
2.20500 0.71181 0.94907 0.67556
2.21000 0.70996 0.95651 0.67908
2.21500 0.70518 0.96788 0.68253
2.22000 0.69651 0.98193 0.68392
2.22500 0.68340 0.99722 0.68150
2.23000 0.66577 1.01223 0.67391
2.23500 0.64401 1.02553 0.66045
2.24000 0.61891 1.03591 0.64114
2.24500 0.59157 1.04247 0.61669
2.25000 0.56329 1.04469 0.58846
2.25500 0.53546 1.04251 0.55822
2.26000 0.50937 1.03627 0.52784
2.26500 0.48616 1.02668 0.49913
2.27000 0.46666 1.01477 0.47355
2.27500 0.45135 1.00175 0.45214
2.28000 0.44032 0.98890 0.43543
2.28500 0.43325 0.97745 0.42348
2.29000 0.42948 0.96848 0.41594
2.29500 0.42806 0.96279 0.41213
2.30000 0.42786 0.96085 0.41111
2.30500 0.42765 0.96276 0.41172
2.31000 0.42629 0.96826 0.41276
2.31500 0.42273 0.97672 0.41289
2.32000 0.41621 0.98728 0.41092
2.32500 0.40627 0.99888 0.40581
2.33000 0.39278 1.01036 0.39685
2.33500 0.37599 1.02062 0.38374
2.34000 0.35646 1.02869 0.36669
2.34500 0.33501 1.03383 0.34634
2.35000 0.31266 1.03559 0.32379
2.35500 0.29048 1.03385 0.30031
2.36000 0.26954 1.02884 0.27731
2.36500 0.25078 1.02109 0.25607
2.37000 0.23490 1.01138 0.23757
2.37500 0.22234 1.00070 0.22250
2.38000 0.21323 0.99009 0.21112
2.38500 0.20736 0.98057 0.20333
2.39000 0.20420 0.97307 0.19870
2.39500 0.20301 0.96827 0.19657
2.40000 0.20284 0.96663 0.19607
2.40500 0.20267 0.96826 0.19624
2.41000 0.20149 0.97298 0.19605
2.41500 0.19842 0.98030 0.19451
2.42000 0.19275 0.98948 0.19072
2.42500 0.18405 0.99961 0.18398
2.43000 0.17219 1.00971 0.17386
2.43500 0.15734 1.01879 0.16030
2.44000 0.13996 1.02597 0.14359
2.44500 0.12078 1.03056 0.12447
2.45000 0.10067 1.03214 0.10391
2.45500 0.08061 1.03057 0.08307
2.46000 0.06156 1.02601 0.06316
2.46500 0.04440 1.01892 0.04524
2.47000 0.02980 1.01000 0.03010
2.47500 0.01820 1.00012 0.01820
2.48000 0.00974 0.99026 0.00965
2.48500 0.00425 0.98138 0.00417
2.49000 0.00129 0.97433 0.00126
2.49500 0.00016 0.96981 0.00016
2.50000 -0.00000 0.96825 -0.00000
2.50500 -0.00016 0.96981 -0.00016
2.51000 -0.00129 0.97433 -0.00126
2.51500 -0.00425 0.98138 -0.00417
2.52000 -0.00974 0.99026 -0.00965
2.52500 -0.01820 1.00012 -0.01820
2.53000 -0.02980 1.01000 -0.03010
2.53500 -0.04440 1.01892 -0.04524
2.54000 -0.06156 1.02601 -0.06316
2.54500 -0.08061 1.03057 -0.08307
2.55000 -0.10067 1.03214 -0.10391
2.55500 -0.12078 1.03056 -0.12447
2.56000 -0.13996 1.02597 -0.14359
2.56500 -0.15734 1.01879 -0.16030
2.57000 -0.17219 1.00971 -0.17386
2.57500 -0.18405 0.99961 -0.18398
2.58000 -0.19275 0.98948 -0.19072
2.58500 -0.19842 0.98030 -0.19451
2.59000 -0.20149 0.97298 -0.19605
2.59500 -0.20267 0.96826 -0.19624
2.60000 -0.20284 0.96663 -0.19607
2.60500 -0.20301 0.96827 -0.19657
2.61000 -0.20420 0.97307 -0.19870
2.61500 -0.20736 0.98057 -0.20333
2.62000 -0.21323 0.99009 -0.21112
2.62500 -0.22234 1.00070 -0.22250
2.63000 -0.23490 1.01138 -0.23757
2.63500 -0.25078 1.02109 -0.25607
2.64000 -0.26954 1.02884 -0.27731
2.64500 -0.29048 1.03385 -0.30031
2.65000 -0.31266 1.03559 -0.32379
2.65500 -0.33501 1.03383 -0.34634
2.66000 -0.35646 1.02869 -0.36669
2.66500 -0.37599 1.02062 -0.38374
2.67000 -0.39278 1.01036 -0.39685
2.67500 -0.40627 0.99888 -0.40581
2.68000 -0.41621 0.98728 -0.41092
2.68500 -0.42273 0.97672 -0.41289
2.69000 -0.42629 0.96826 -0.41276
2.69500 -0.42765 0.96276 -0.41172
2.70000 -0.42786 0.96085 -0.41111
2.70500 -0.42806 0.96279 -0.41213
2.71000 -0.42948 0.96848 -0.41594
2.71500 -0.43325 0.97745 -0.42348
2.72000 -0.44032 0.98890 -0.43543
2.72500 -0.45135 1.00175 -0.45214
2.73000 -0.46666 1.01477 -0.47355
2.73500 -0.48616 1.02668 -0.49913
2.74000 -0.50937 1.03627 -0.52784
2.74500 -0.53546 1.04251 -0.55822
2.75000 -0.56329 1.04469 -0.58846
2.75500 -0.59157 1.04247 -0.61669
2.76000 -0.61891 1.03591 -0.64114
2.76500 -0.64401 1.02553 -0.66045
2.77000 -0.66577 1.01223 -0.67391
2.77500 -0.68340 0.99722 -0.68150
2.78000 -0.69651 0.98193 -0.68392
2.78500 -0.70518 0.96788 -0.68253
2.79000 -0.70996 0.95651 -0.67908
2.79500 -0.71181 0.94907 -0.67556
2.80000 -0.71208 0.94645 -0.67395
2.80500 -0.71237 0.94914 -0.67614
2.81000 -0.71435 0.95710 -0.68370
2.81500 -0.71969 0.96979 -0.69795
2.82000 -0.72980 0.98615 -0.71969
2.82500 -0.74576 1.00474 -0.74929
2.83000 -0.76819 1.02381 -0.78648
2.83500 -0.79711 1.04147 -0.83017
2.84000 -0.83200 1.05588 -0.87849
2.84500 -0.87176 1.06539 -0.92876
2.85000 -0.91480 1.06875 -0.97769
2.85500 -0.95918 1.06524 -1.02176
2.86000 -1.00277 1.05478 -1.05770
2.86500 -1.04347 1.03794 -1.08306
2.87000 -1.07936 1.01599 -1.09662
2.87500 -1.10898 0.99075 -1.09872
2.88000 -1.13145 0.96455 -1.09134
2.88500 -1.14661 0.93997 -1.07778
2.89000 -1.15513 0.91964 -1.06230
2.89500 -1.15852 0.90603 -1.04965
2.90000 -1.15903 0.90114 -1.04445
2.90500 -1.15958 0.90635 -1.05099
2.91000 -1.16353 0.92218 -1.07298
2.91500 -1.17447 0.94816 -1.11359
2.92000 -1.19591 0.98283 -1.17538
2.92500 -1.23101 1.02365 -1.26012
2.93000 -1.28229 1.06722 -1.36849
2.93500 -1.35140 1.10936 -1.49919
2.94000 -1.43887 1.14540 -1.64808
2.94500 -1.54405 1.17047 -1.80726
2.95000 -1.66498 1.17981 -1.96436
2.95500 -1.79849 1.16914 -2.10269
2.96000 -1.94033 1.13494 -2.20216
2.96500 -2.08533 1.07473 -2.24117
2.97000 -2.22773 0.98732 -2.19948
2.97500 -2.36150 0.87292 -2.06140
2.98000 -2.48071 0.73320 -1.81886
2.98500 -2.57988 0.57124 -1.47373
2.99000 -2.65433 0.39135 -1.03877
2.99500 -2.70050 0.19891 -0.53716
3.00000 -2.71615 0.00000 -0.00000
3.00500 -2.70050 -0.19891 0.53716
3.01000 -2.65433 -0.39135 1.03877
3.01500 -2.57988 -0.57124 1.47373
3.02000 -2.48071 -0.73320 1.81886
3.02500 -2.36150 -0.87292 2.06140
3.03000 -2.22773 -0.98732 2.19948
3.03500 -2.08533 -1.07473 2.24117
3.04000 -1.94033 -1.13494 2.20216
3.04500 -1.79849 -1.16914 2.10269
3.05000 -1.66498 -1.17981 1.96436
3.05500 -1.54405 -1.17047 1.80726
3.06000 -1.43887 -1.14540 1.64808
3.06500 -1.35140 -1.10936 1.49919
3.07000 -1.28229 -1.06722 1.36849
3.07500 -1.23101 -1.02365 1.26012
3.08000 -1.19591 -0.98283 1.17538
3.08500 -1.17447 -0.94816 1.11359
3.09000 -1.16353 -0.92218 1.07298
3.09500 -1.15958 -0.90635 1.05099
3.10000 -1.15903 -0.90114 1.04445
3.10500 -1.15852 -0.90603 1.04965
3.11000 -1.15513 -0.91964 1.06230
3.11500 -1.14661 -0.93997 1.07778
3.12000 -1.13145 -0.96455 1.09134
3.12500 -1.10898 -0.99075 1.09872
3.13000 -1.07936 -1.01599 1.09662
3.13500 -1.04347 -1.03794 1.08306
3.14000 -1.00277 -1.05478 1.05770
3.14500 -0.95918 -1.06524 1.02176
3.15000 -0.91480 -1.06875 0.97769
3.15500 -0.87176 -1.06539 0.92876
3.16000 -0.83200 -1.05588 0.87849
3.16500 -0.79711 -1.04147 0.83017
3.17000 -0.76819 -1.02381 0.78648
3.17500 -0.74576 -1.00474 0.74929
3.18000 -0.72980 -0.98615 0.71969
3.18500 -0.71969 -0.96979 0.69795
3.19000 -0.71435 -0.95710 0.68370
3.19500 -0.71237 -0.94914 0.67614
3.20000 -0.71208 -0.94645 0.67395
3.20500 -0.71181 -0.94907 0.67556
3.21000 -0.70996 -0.95651 0.67908
3.21500 -0.70518 -0.96788 0.68253
3.22000 -0.69651 -0.98193 0.68392
3.22500 -0.68340 -0.99722 0.68150
3.23000 -0.66577 -1.01223 0.67391
3.23500 -0.64401 -1.02553 0.66045
3.24000 -0.61891 -1.03591 0.64114
3.24500 -0.59157 -1.04247 0.61669
3.25000 -0.56329 -1.04469 0.58846
3.25500 -0.53546 -1.04251 0.55822
3.26000 -0.50937 -1.03627 0.52784
